                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  0.787,                 3.7623,                0.57449,                0.64227,                 1.1458,                0.90472,                0.86111,                0.94874,                0.80291,                0.53818,                    0.5,                 0.3769,                0.16354,                0.63498,                 4.9264,                0.27353,                0.90836,                  1.135,              0.0017008,              0.0017008,              0.0017008
                     70,                0.88775,                 3.9914,                0.55282,                0.72821,                 1.2204,                0.85971,                0.86111,                0.92681,                0.78245,                0.58426,                0.58333,                0.47702,                0.16185,                0.64594,                 4.6047,                0.32322,                 0.9806,                 1.1396,              0.0016964,              0.0016964,              0.0016964
                     71,                0.73779,                 3.9892,                0.54962,                0.64316,                 1.1295,                0.96043,                0.83333,                0.94269,                0.77123,                0.76898,                0.61111,                0.60595,                0.18938,                0.81714,                 4.0993,                0.33943,                0.84542,                 1.2953,               0.001692,               0.001692,               0.001692
                     72,                0.80261,                 3.8578,                0.57657,                0.67417,                 1.1937,                0.93662,                0.91667,                0.95465,                0.79493,                0.76418,                0.61111,                0.59398,                0.28005,                0.74454,                 4.1971,                0.28397,                0.71952,                 1.2437,              0.0016876,              0.0016876,              0.0016876
                     73,                0.76736,                 3.6918,                0.53306,                0.67599,                 1.1358,                0.92939,                0.88889,                0.90818,                 0.7442,                0.72005,                0.52778,                 0.5286,                0.29658,                0.92319,                 4.4891,                0.24113,                0.76961,                 1.3193,              0.0016832,              0.0016832,              0.0016832
                     74,                0.75761,                 3.7258,                0.55098,                0.65194,                   1.13,                 0.8398,                0.88889,                0.91535,                0.72114,                 0.7807,                0.55556,                0.58351,                0.21902,                 1.0525,                 4.6757,                0.21732,                0.92586,                 1.3971,              0.0016788,              0.0016788,              0.0016788
                     75,                0.80011,                 3.5657,                0.53787,                 0.6645,                 1.1728,                 0.9282,                0.86111,                0.91831,                0.76301,                0.66187,                0.61111,                0.58304,                 0.2514,                0.83098,                 4.6866,                0.19977,                0.81456,                 1.2192,              0.0016744,              0.0016744,              0.0016744
                     76,                0.76586,                 3.3857,                0.53221,                0.63066,                 1.1704,                0.96897,                0.86744,                0.95533,                0.78317,                0.66361,                    0.5,                0.51543,                0.26171,                 0.7109,                  4.047,                0.22072,                0.68181,                 1.2465,                0.00167,                0.00167,                0.00167
                     77,                0.87979,                  4.089,                0.54199,                0.69545,                 1.2055,                0.86306,                0.97222,                0.97925,                0.79484,                0.63896,                0.55556,                0.53324,                0.28394,                0.86649,                 4.2789,                0.22426,                0.65872,                 1.4072,              0.0016656,              0.0016656,              0.0016656
                     78,                0.76673,                 3.5332,                0.53095,                0.64726,                 1.1389,                0.89121,                0.97222,                 0.9775,                0.81008,                0.74844,                0.66667,                 0.6528,                0.30793,                0.77657,                  4.208,                0.20806,                0.68848,                 1.3518,              0.0016612,              0.0016612,              0.0016612
                     79,                0.80586,                 3.4806,                0.55326,                0.62992,                 1.2014,                0.92045,                0.94444,                0.96687,                0.80945,                0.69137,                0.69444,                0.57494,                 0.2742,                0.75366,                 4.1953,                0.18254,                0.75194,                 1.3002,              0.0016568,              0.0016568,              0.0016568
                     80,                0.82808,                  3.529,                 0.5251,                0.64403,                 1.2159,                0.93749,                0.97222,                0.97314,                0.81667,                0.72789,                0.77778,                 0.7388,                0.34541,                0.73328,                 3.8217,                 0.1743,                0.74494,                   1.31,              0.0016524,              0.0016524,              0.0016524
                     81,                0.73859,                 3.6534,                0.53602,                0.56625,                  1.137,                 0.8929,                0.92653,                0.97385,                0.79464,                0.70896,                0.74444,                0.62713,                0.29401,                0.79239,                 4.0617,                0.18289,                0.64342,                 1.3909,               0.001648,               0.001648,               0.001648
                     82,                0.74571,                 3.3854,                0.55024,                0.59398,                 1.1357,                 0.9608,                0.91667,                0.98096,                0.79439,                0.62771,                0.72222,                0.51868,                0.18531,                 0.8354,                 4.5469,                0.19564,                0.60855,                 1.4106,              0.0016436,              0.0016436,              0.0016436
                     83,                0.81031,                 3.5716,                0.51152,                0.64668,                 1.1875,                0.94589,                0.97117,                0.98753,                 0.8068,                0.73411,                0.76709,                0.68164,                 0.2464,                 0.8362,                 4.7664,                0.20496,                0.56303,                  1.366,              0.0016392,              0.0016392,              0.0016392
                     84,                0.82667,                 3.4156,                0.55375,                0.61161,                 1.1926,                0.92618,                0.94444,                0.96762,                0.77497,                0.76191,                0.80556,                0.73508,                0.29027,                0.81076,                 3.8693,                0.23005,                0.57833,                 1.3558,              0.0016348,              0.0016348,              0.0016348
                     85,                0.78603,                  3.303,                0.53036,                  0.594,                 1.1475,                0.94575,                0.97222,                0.96853,                0.78649,                0.77692,                0.77778,                0.68844,                0.21126,                0.77428,                 4.4627,                0.22843,                 0.5749,                 1.2598,              0.0016304,              0.0016304,              0.0016304
