                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.57643,                 2.2199,                0.38563,                0.55751,                  1.142,                0.94304,                      1,                0.99262,                0.91897,                0.94304,                      1,                0.99262,                0.30414,                0.38993,                 2.6274,                0.07466,                0.43571,                0.98362,              0.0007328,              0.0007328,              0.0007328
                     66,                0.51068,                 2.6067,                0.36458,                0.46823,                 1.0734,                0.94939,                      1,                0.99262,                0.93136,                0.94939,                      1,                0.99262,                0.29739,                0.36039,                 2.6496,                0.07189,                0.42591,                0.96236,               0.000713,               0.000713,               0.000713
                     67,                0.56176,                  2.463,                0.41002,                0.51486,                 1.1577,                0.94275,                      1,                0.99262,                0.96749,                0.89525,                   0.95,                0.91587,                0.33468,                0.34026,                 2.5311,                 0.0641,                0.40399,                0.94638,              0.0006932,              0.0006932,              0.0006932
                     68,                0.53358,                 2.3329,                0.35914,                 0.4499,                 1.0733,                      1,                0.94061,                0.98667,                 0.9374,                0.89374,                0.84149,                0.86008,                0.34415,                0.38126,                 2.5703,                0.05484,                0.42827,                0.97557,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.4784,                 2.2633,                0.36603,                0.43309,                 1.0151,                0.99073,                    0.9,                0.95639,                0.87679,                0.93546,                   0.85,                0.91249,                0.33734,                0.42959,                 2.5861,                 0.0569,                0.50442,                0.99838,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54015,                 2.3433,                 0.3411,                0.49673,                  1.109,                0.94965,                0.94338,                0.93829,                0.83434,                0.89934,                0.89378,                0.89075,                0.35128,                0.46034,                 2.5927,                0.06247,                0.57938,                 1.0181,              0.0006338,              0.0006338,              0.0006338
                     71,                0.52328,                 2.6437,                0.34603,                0.45631,                  1.093,                      1,                0.94893,                0.94777,                0.86407,                0.94736,                 0.8998,                 0.8793,                0.34297,                0.42315,                 2.5944,                0.06943,                0.56452,                0.99759,               0.000614,               0.000614,               0.000614
                     72,                0.53345,                  2.458,                0.36122,                0.45756,                  1.066,                      1,                0.99244,                  0.995,                  0.948,                0.94204,                    0.9,                 0.8573,                0.29218,                0.31692,                 2.6803,                0.08046,                0.44731,                0.93959,              0.0005942,              0.0005942,              0.0005942
                     73,                0.45576,                 2.3297,                0.31874,                0.44795,                 1.0479,                      1,                0.99566,                  0.995,                0.96149,                0.83649,                    0.8,                0.68352,                0.24962,                0.31791,                 2.6782,                0.09854,                0.40583,                0.93426,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.4968,                 2.3053,                 0.3529,                0.43906,                  1.067,                      1,                0.99867,                  0.995,                0.96419,                0.83628,                    0.8,                0.69962,                0.25793,                0.31492,                 2.6556,                0.10822,                0.39073,                0.93882,              0.0005546,              0.0005546,              0.0005546
